Sale_ID,Order_Date,Customer_ID,Product_ID,Channel_ID,Quantity_Sold,Discount_Percentage
1,2021-02-28,C0091,P00040,CH00002,1,14.47
2,2022-06-30,C0018,P00038,CH00001,3,29.99
3,2022-09-30,C0071,P00005,CH00001,5,2.78
4,2021-10-31,C0066,P00057,CH00001,8,5.84
5,2022-09-30,C0015,P00031,CH00003,2,11.54
6,2023-01-31,C0055,P00041,CH00002,9,1.76
7,2021-12-31,C0100,P00038,CH00003,10,19.71
8,2024-05-31,C0005,P00037,CH00001,10,23.98
9,2022-11-30,C0057,P00049,CH00003,7,4.94
10,2022-01-31,C0044,P00039,CH00001,9,28.7
11,2021-10-31,C0005,P00011,CH00002,8,15.56
12,2021-07-31,C0100,P00055,CH00002,4,28.05
13,2023-11-30,C0099,P00033,CH00003,4,27.51
14,2024-01-31,C0087,P00007,CH00002,8,22.74
15,2023-02-28,C0061,P00060,CH00001,5,27.68
16,2021-12-31,C0020,P00059,CH00002,2,4.43
17,2024-05-31,C0025,P00023,CH00003,9,16.92
18,2024-01-31,C0066,P00018,CH00003,4,14.3
19,2021-07-31,C0034,P00046,CH00002,3,25.36
20,2021-12-31,C0090,P00029,CH00001,8,11.43
21,2023-08-31,C0051,P00010,CH00001,2,8.32
22,2023-04-30,C0014,P00012,CH00003,7,25.62
23,2024-12-31,C0090,P00011,CH00001,8,27.44
24,2023-01-31,C0029,P00021,CH00002,8,6.06
25,2024-08-31,C0095,P00029,CH00002,2,10.95
26,2024-04-30,C0012,P00011,CH00002,4,4.06
27,2024-11-30,C0093,P00002,CH00003,9,27.13
28,2024-11-30,C0042,P00018,CH00002,5,18.41
29,2024-12-31,C0024,P00006,CH00001,8,19.97
30,2024-09-30,C0048,P00060,CH00003,9,18.53
31,2021-08-31,C0090,P00029,CH00003,9,1.26
32,2022-10-31,C0025,P00001,CH00002,9,18.77
33,2023-01-31,C0069,P00051,CH00003,3,11.55
34,2023-10-31,C0098,P00038,CH00001,2,4.06
35,2024-11-30,C0046,P00014,CH00003,8,3.27
36,2023-11-30,C0023,P00008,CH00003,6,16.65
37,2024-04-30,C0067,P00053,CH00003,4,6.4
38,2023-03-31,C0048,P00014,CH00001,6,13.75
39,2023-08-31,C0066,P00048,CH00001,5,6.37
40,2023-04-30,C0009,P00019,CH00002,7,16.62
41,2021-09-30,C0018,P00036,CH00002,9,17.68
42,2024-02-29,C0011,P00032,CH00003,10,15.2
43,2021-11-30,C0093,P00012,CH00003,2,1.88
44,2024-09-30,C0026,P00016,CH00001,3,11.65
45,2023-02-28,C0019,P00009,CH00003,4,22.17
46,2024-08-31,C0058,P00015,CH00002,1,14.63
47,2021-06-30,C0043,P00055,CH00003,6,25.71
48,2021-05-31,C0030,P00052,CH00002,6,10.26
49,2021-02-28,C0089,P00015,CH00002,8,2.78
50,2022-03-31,C0003,P00037,CH00002,10,3.79
51,2024-09-30,C0075,P00001,CH00001,8,11.72
52,2022-05-31,C0046,P00009,CH00003,5,23.6
53,2024-06-30,C0095,P00047,CH00002,6,5.89
54,2022-06-30,C0021,P00051,CH00002,5,1.72
55,2022-12-31,C0064,P00054,CH00003,3,22.12
56,2022-08-31,C0097,P00056,CH00001,3,23.75
57,2021-06-30,C0069,P00059,CH00001,3,15.16
58,2024-07-31,C0097,P00056,CH00001,10,3.27
59,2023-12-31,C0066,P00001,CH00003,6,27.93
60,2022-05-31,C0032,P00052,CH00003,10,6.89
61,2022-05-31,C0100,P00034,CH00003,1,6.07
62,2024-03-31,C0085,P00024,CH00002,3,25.26
63,2022-02-28,C0010,P00038,CH00003,3,27.38
64,2021-08-31,C0001,P00052,CH00001,10,23.6
65,2024-11-30,C0037,P00028,CH00002,2,6.15
66,2021-12-31,C0014,P00055,CH00003,5,23.81
67,2021-07-31,C0032,P00002,CH00001,6,2.76
68,2021-10-31,C0013,P00009,CH00001,4,18.51
69,2023-05-31,C0098,P00012,CH00003,1,15.37
