Sale_ID,Order_Date,Customer_ID,Product_ID,Channel_ID,Quantity_Sold,Discount_Percentage
1,2024-04-30,C0020,P00005,CH00001,3,11.18
2,2024-08-31,C0039,P00022,CH00003,4,4.81
3,2024-07-31,C0001,P00058,CH00003,4,21.36
4,2023-08-31,C0071,P00038,CH00003,10,11.26
5,2024-05-31,C0017,P00038,CH00001,8,24.31
6,2024-08-31,C0099,P00046,CH00002,10,20.07
7,2021-08-31,C0015,P00001,CH00003,1,19.33
8,2023-07-31,C0003,P00002,CH00001,5,9.89
9,2022-08-31,C0082,P00031,CH00002,2,0.48
10,2023-10-31,C0063,P00037,CH00001,5,4.37
11,2021-01-31,C0100,P00025,CH00002,1,10.64
12,2023-06-30,C0013,P00008,CH00002,9,23.34
13,2022-10-31,C0008,P00042,CH00003,9,15.19
14,2021-09-30,C0100,P00040,CH00001,4,19.37
15,2021-11-30,C0020,P00026,CH00003,10,23.67
16,2023-03-31,C0080,P00007,CH00001,7,0.85
17,2023-08-31,C0054,P00045,CH00002,8,6.54
18,2024-09-30,C0021,P00056,CH00001,2,15.89
19,2023-10-31,C0017,P00046,CH00001,9,24.67
20,2023-09-30,C0094,P00028,CH00002,5,14.34
21,2022-05-31,C0079,P00008,CH00002,2,20.12
22,2023-12-31,C0067,P00052,CH00003,10,11.59
23,2024-11-30,C0039,P00007,CH00001,4,10.63
24,2023-09-30,C0017,P00043,CH00002,9,25.24
25,2022-03-31,C0031,P00007,CH00003,5,13.26
26,2022-09-30,C0045,P00031,CH00003,4,2.51
27,2021-06-30,C0065,P00045,CH00003,5,9.69
28,2024-11-30,C0079,P00018,CH00003,1,19.07
29,2023-02-28,C0092,P00053,CH00002,9,6.42
30,2022-04-30,C0026,P00009,CH00003,7,28.44
31,2024-03-31,C0006,P00045,CH00001,2,16.39
32,2022-02-28,C0082,P00053,CH00003,5,4.37
33,2024-04-30,C0063,P00005,CH00002,3,25.7
34,2021-02-28,C0034,P00041,CH00003,3,4.2
35,2024-05-31,C0026,P00056,CH00003,9,27.62
36,2021-12-31,C0085,P00030,CH00002,4,28.39
37,2021-12-31,C0034,P00059,CH00003,2,28.33
38,2024-10-31,C0060,P00025,CH00001,9,12.49
39,2024-06-30,C0063,P00047,CH00002,9,3.26
40,2024-05-31,C0069,P00015,CH00003,7,0.2
41,2023-08-31,C0029,P00035,CH00003,9,26.32
42,2022-07-31,C0092,P00028,CH00002,7,15.04
43,2021-02-28,C0063,P00001,CH00003,6,12.84
44,2024-06-30,C0060,P00028,CH00001,10,5.12
45,2021-03-31,C0003,P00017,CH00001,9,11.55
46,2022-05-31,C0042,P00002,CH00001,4,10.71
47,2023-01-31,C0036,P00034,CH00003,8,26.21
48,2021-04-30,C0022,P00023,CH00001,5,4.4
49,2024-05-31,C0080,P00057,CH00001,9,11.43
50,2022-08-31,C0042,P00051,CH00002,1,5.75
51,2021-10-31,C0034,P00005,CH00001,4,21.55
52,2021-09-30,C0097,P00056,CH00002,6,11.58
53,2022-02-28,C0050,P00059,CH00002,4,11.28
54,2023-03-31,C0058,P00037,CH00002,2,2.04
55,2022-09-30,C0019,P00046,CH00001,10,12.31
56,2021-06-30,C0008,P00029,CH00002,1,28.53
